Customer_Name,Product_Level_1,Product_Level_2,Application,Plant,Predicted_Margin_Per_Unit
Coal Mining Corp,Minerals,Fluorite,Telecommunications,Africa Operations,165.21
Solar Panel Materials,Agriculture,Cocoa,Oil & Gas,Western Europe Plant,111.95
Mining Operations LLC,Agriculture,Corn,Food & Beverage,Southeast Asia Hub,110.77
Petroleum Products Ltd,Chemicals,Ethylene,Packaging,Central America Hub,447.88
Pharmaceutical Raw Materials,Plastics,Polypropylene,Pharmaceuticals,Eastern Europe Facility,242.44
Plastic Polymers Co,Textiles,Polyester,Manufacturing,Middle East Plant,29.71
Mining Operations LLC,Energy,Crude Oil,Manufacturing,North America Plant,56.45
Pharmaceutical Raw Materials,Metals,Iron Ore,Renewable Energy,South Asia Plant,272.16
Energy Dynamics,Agriculture,Rice,Textiles,Asia Pacific Hub,111.38
Battery Materials Corp,Agriculture,Rubber,Automotive,Central America Hub,112.88
Nickel Alloys Corp,Electronics,Silicon,Pharmaceuticals,Central America Hub,481.61
Rubber and Tire Materials,Chemicals,Ethylene,Infrastructure,South America Facility,436.06
Steel Manufacturing Co,Chemicals,Urea,Energy,Africa Operations,454.25
Titanium Specialists,Chemicals,Methanol,Healthcare,Southeast Asia Hub,452.7
Premium Metals Corp,Chemicals,Sulfuric Acid,Cosmetics,Africa Operations,444.98
Rubber and Tire Materials,Agriculture,Palm Oil,Manufacturing,Southeast Asia Hub,108.87
Metro Trading Co,Energy,Diesel,Healthcare,Europe Manufacturing,62.01
Pharmaceutical Raw Materials,Metals,Copper,Agriculture,Central Asia Plant,272.9
Construction Materials Co,Textiles,Linen,Aerospace,Caribbean Plant,27.58
Aerospace Alloys Corp,Agriculture,Sugar,Telecommunications,South Asia Plant,109.79
Aerospace Alloys Corp,Agriculture,Wheat,Aerospace,Central Asia Plant,110.26
Ceramic Materials Ltd,Metals,Titanium,Automotive,South America Facility,270.57
Electronics Components Ltd,Agriculture,Wheat,Mining,North America Plant,110.88
Construction Materials Co,Metals,Aluminum,Automotive,Middle East Plant,272.36
Steel Manufacturing Co,Metals,Tin,Aerospace,Africa Operations,271.58
Beverage Industry Supply,Agriculture,Cocoa,Pharmaceuticals,Africa Operations,107.54
Ceramic Materials Ltd,Chemicals,Ammonia,Healthcare,South America Facility,441.55
Premium Metals Corp,Energy,Crude Oil,Manufacturing,North America Plant,56.42
Premium Metals Corp,Plastics,PVC,Telecommunications,Asia Pacific Hub,244.18
Beverage Industry Supply,Metals,Steel,Textiles,Caribbean Plant,275.17
Electronics Components Ltd,Minerals,Feldspar,Chemicals,South America Facility,164.63
AgriTech Solutions,Metals,Aluminum,Mining,Eastern Europe Facility,275.55
Iron Ore Suppliers,Minerals,Fluorite,Oil & Gas,South America Facility,168.64
Coal Mining Corp,Energy,Gasoline,Pharmaceuticals,Caribbean Plant,54.21
Chemical Industries Ltd,Textiles,Wool,Manufacturing,North America Plant,28.57
Aerospace Alloys Corp,Metals,Aluminum,Pharmaceuticals,North America Plant,275.63
Aluminum Corp,Textiles,Rayon,Electronics,Caribbean Plant,27.77
Chemical Industries Ltd,Plastics,PET,Agriculture,North America Plant,238.39
Ceramic Materials Ltd,Electronics,Silicon,Chemicals,Western Europe Plant,487.24
Electronics Components Ltd,Plastics,Polyethylene,Telecommunications,Central Asia Plant,237.12
Automotive Materials,Chemicals,PVC,Healthcare,Eastern Europe Facility,466.33
Natural Gas Traders,Metals,Zinc,Energy,North Asia Operations,275.53
Electronics Components Ltd,Plastics,Polycarbonate,Manufacturing,Europe Manufacturing,238.4
Rubber and Tire Materials,Plastics,PET,Automotive,Central Asia Plant,236.47
Aerospace Alloys Corp,Chemicals,Ethylene,Telecommunications,Western Europe Plant,450.0
Steel Manufacturing Co,Textiles,Rayon,Oil & Gas,North Asia Operations,29.85
Battery Materials Corp,Agriculture,Palm Oil,Aerospace,Africa Operations,110.14
Iron Ore Suppliers,Chemicals,Methanol,Infrastructure,Middle East Plant,443.73
Metro Trading Co,Metals,Copper,Electronics,North America Plant,271.04
Battery Materials Corp,Plastics,ABS,Healthcare,Central Asia Plant,237.11
Cosmetic Ingredients,Energy,Crude Oil,Infrastructure,South Asia Plant,56.27
Construction Materials Co,Metals,Scrap Metal,Agriculture,Oceania Facility,273.61
Medical Grade Metals,Textiles,Linen,Healthcare,Middle East Plant,28.91
Nickel Alloys Corp,Minerals,Gypsum,Healthcare,Asia Pacific Hub,169.94
Pharmaceutical Raw Materials,Chemicals,Urea,Pharmaceuticals,Southeast Asia Hub,439.1
Automotive Materials,Textiles,Polyester,Agriculture,Europe Manufacturing,28.24
Glass Manufacturing Co,Metals,Iron Ore,Automotive,Middle East Plant,273.28
Chemical Industries Ltd,Energy,Gasoline,Electronics,Africa Operations,56.19
Battery Materials Corp,Energy,Coal,Chemicals,Western Europe Plant,55.4
Agricultural Commodities,Textiles,Polyester,Food & Beverage,Asia Pacific Hub,28.68
Rare Earth Elements Co,Textiles,Nylon,Oil & Gas,Middle East Plant,30.2
AgriTech Solutions,Minerals,Talc,Agriculture,South Asia Plant,165.78
Aluminum Corp,Plastics,Nylon,Agriculture,Central America Hub,240.3
Steel Manufacturing Co,Chemicals,Propylene,Agriculture,Asia Pacific Hub,456.11
Wood Products International,Agriculture,Coffee,Oil & Gas,Western Europe Plant,111.95
Premium Metals Corp,Plastics,Nylon,Food & Beverage,Africa Operations,237.21
Nickel Alloys Corp,Textiles,Rayon,Infrastructure,Western Europe Plant,29.31
Wind Energy Components,Textiles,Polyester,Construction,Southeast Asia Hub,23.87
Steel Manufacturing Co,Metals,Steel,Oil & Gas,Middle East Plant,273.75
Chemical Industries Ltd,Textiles,Polyester,Automotive,South America Facility,28.19
Battery Materials Corp,Energy,Petroleum Products,Cosmetics,Western Europe Plant,56.95
Pharmaceutical Raw Materials,Metals,Tin,Chemicals,South America Facility,272.1
Food Processing Materials,Plastics,Polyethylene,Construction,North Asia Operations,238.19
Titanium Specialists,Energy,Crude Oil,Telecommunications,Southeast Asia Hub,54.77
Copper Traders International,Metals,Iron Ore,Packaging,Eastern Europe Facility,280.29
Automotive Materials,Agriculture,Cotton,Automotive,North Asia Operations,111.66
Steel Manufacturing Co,Metals,Aluminum,Packaging,Oceania Facility,273.35
Nickel Alloys Corp,Textiles,Cotton Fiber,Aerospace,North America Plant,29.05
Solar Panel Materials,Energy,Petroleum Products,Packaging,North Asia Operations,57.3
AgriTech Solutions,Minerals,Barite,Electronics,South America Facility,165.11
Plastic Polymers Co,Energy,LNG,Defense,Europe Manufacturing,57.76
Medical Grade Metals,Plastics,Polypropylene,Oil & Gas,Asia Pacific Hub,241.56
Premium Metals Corp,Plastics,ABS,Healthcare,South America Facility,237.73
Iron Ore Suppliers,Agriculture,Rubber,Packaging,Caribbean Plant,109.54
Aerospace Alloys Corp,Textiles,Silk,Automotive,North America Plant,28.86
Beverage Industry Supply,Plastics,Polypropylene,Manufacturing,Caribbean Plant,235.34
Industrial Supply Ltd,Plastics,Polystyrene,Energy,Caribbean Plant,238.76
Cosmetic Ingredients,Agriculture,Wheat,Automotive,Caribbean Plant,109.46
Titanium Specialists,Energy,Petroleum Products,Telecommunications,North Asia Operations,56.25
Precious Metals Exchange,Energy,Diesel,Infrastructure,Africa Operations,56.11
Iron Ore Suppliers,Metals,Copper,Cosmetics,South America Facility,281.75
Metro Trading Co,Chemicals,Propylene,Cosmetics,Central America Hub,438.93
Aerospace Alloys Corp,Minerals,Feldspar,Pharmaceuticals,North America Plant,168.27
Petroleum Products Ltd,Agriculture,Palm Oil,Mining,Middle East Plant,112.09
Zinc and Lead Traders,Metals,Copper,Cosmetics,Central America Hub,276.78
Pharmaceutical Raw Materials,Textiles,Silk,Automotive,Central Asia Plant,27.96
Industrial Supply Ltd,Metals,Steel,Electronics,Southeast Asia Hub,269.19
Titanium Specialists,Textiles,Silk,Construction,Middle East Plant,28.21
Industrial Supply Ltd,Energy,Petroleum Products,Mining,Oceania Facility,55.86
Energy Dynamics,Energy,Biofuels,Cosmetics,South Asia Plant,57.26
Petroleum Products Ltd,Chemicals,PVC,Electronics,Europe Manufacturing,436.74
Titanium Specialists,Textiles,Nylon,Packaging,Oceania Facility,28.24
Natural Gas Traders,Energy,Diesel,Renewable Energy,Oceania Facility,56.87
Petroleum Products Ltd,Energy,Coal,Electronics,North Asia Operations,57.46
Nickel Alloys Corp,Agriculture,Coffee,Infrastructure,Europe Manufacturing,113.32
Global Commodities Inc,Minerals,Gypsum,Telecommunications,North Asia Operations,167.24
Automotive Materials,Textiles,Nylon,Renewable Energy,North Asia Operations,29.6
Glass Manufacturing Co,Minerals,Silica,Mining,Central America Hub,166.92
Battery Materials Corp,Metals,Iron Ore,Renewable Energy,Caribbean Plant,270.16
Medical Grade Metals,Chemicals,Urea,Chemicals,Central America Hub,444.7
Petroleum Products Ltd,Electronics,Gallium,Healthcare,South Asia Plant,482.66
Premium Metals Corp,Metals,Tin,Renewable Energy,Caribbean Plant,269.4
Paper and Pulp Industries,Energy,Coal,Pharmaceuticals,South Asia Plant,56.26
Electronics Components Ltd,Textiles,Nylon,Packaging,Europe Manufacturing,30.01
Agricultural Commodities,Agriculture,Palm Oil,Textiles,Eastern Europe Facility,110.8
Global Commodities Inc,Agriculture,Rice,Renewable Energy,Central Asia Plant,110.69
Industrial Supply Ltd,Energy,Biofuels,Oil & Gas,Southeast Asia Hub,55.84
Ceramic Materials Ltd,Minerals,Silica,Cosmetics,North Asia Operations,166.75
Textile Raw Materials,Energy,Crude Oil,Electronics,Europe Manufacturing,57.03
Food Processing Materials,Minerals,Feldspar,Agriculture,North Asia Operations,165.0
Steel Manufacturing Co,Metals,Copper,Chemicals,Asia Pacific Hub,274.05
Electronics Components Ltd,Metals,Iron Ore,Construction,Southeast Asia Hub,268.16
Zinc and Lead Traders,Energy,LNG,Telecommunications,South America Facility,56.36
Rare Earth Elements Co,Plastics,Polypropylene,Mining,Africa Operations,235.66
Food Processing Materials,Metals,Titanium,Telecommunications,Central Asia Plant,273.82
Iron Ore Suppliers,Energy,Petroleum Products,Chemicals,Europe Manufacturing,56.13
Steel Manufacturing Co,Plastics,PVC,Chemicals,Asia Pacific Hub,243.87
AgriTech Solutions,Minerals,Limestone,Agriculture,South Asia Plant,165.78
Natural Gas Traders,Energy,LNG,Food & Beverage,South America Facility,57.61
Electronics Components Ltd,Chemicals,Ammonia,Manufacturing,North America Plant,437.47
Metro Trading Co,Chemicals,Caustic Soda,Energy,Oceania Facility,436.76
Aluminum Corp,Chemicals,Ammonia,Textiles,Caribbean Plant,437.88
Glass Manufacturing Co,Minerals,Limestone,Energy,Europe Manufacturing,167.41
Copper Traders International,Plastics,Polystyrene,Mining,Caribbean Plant,238.19
Aluminum Corp,Metals,Copper,Electronics,Southeast Asia Hub,270.08
Mining Operations LLC,Minerals,Limestone,Pharmaceuticals,North Asia Operations,166.67
Metro Trading Co,Plastics,Nylon,Pharmaceuticals,Eastern Europe Facility,239.52
Petroleum Products Ltd,Agriculture,Corn,Packaging,Central Asia Plant,111.54
Electronics Components Ltd,Textiles,Acrylic,Aerospace,Eastern Europe Facility,29.99
Zinc and Lead Traders,Metals,Nickel,Packaging,Central Asia Plant,274.57
Titanium Specialists,Plastics,Polystyrene,Telecommunications,North Asia Operations,239.73
Construction Materials Co,Chemicals,Urea,Textiles,Oceania Facility,446.19
Natural Gas Traders,Plastics,PET,Cosmetics,Asia Pacific Hub,243.62
Paper and Pulp Industries,Minerals,Kaolin,Energy,Europe Manufacturing,166.09
Industrial Supply Ltd,Textiles,Linen,Agriculture,North Asia Operations,29.0
Electronics Components Ltd,Textiles,Linen,Healthcare,South Asia Plant,27.92
Ceramic Materials Ltd,Textiles,Linen,Packaging,Southeast Asia Hub,29.6
Precious Metals Exchange,Plastics,Polypropylene,Textiles,Europe Manufacturing,237.8
Iron Ore Suppliers,Agriculture,Coffee,Defense,Eastern Europe Facility,116.25
Electronics Components Ltd,Textiles,Cotton Fiber,Agriculture,Africa Operations,28.32
Ceramic Materials Ltd,Plastics,Nylon,Energy,Africa Operations,237.98
Industrial Supply Ltd,Energy,Diesel,Manufacturing,Asia Pacific Hub,56.95
Energy Dynamics,Plastics,PET,Chemicals,Central America Hub,240.36
Coal Mining Corp,Minerals,Fluorite,Energy,South America Facility,165.37
Rare Earth Elements Co,Chemicals,Urea,Healthcare,Eastern Europe Facility,505.44
Glass Manufacturing Co,Energy,Biofuels,Food & Beverage,Eastern Europe Facility,57.63
Aluminum Corp,Chemicals,Propylene,Infrastructure,South Asia Plant,440.89
Chemical Industries Ltd,Chemicals,Propylene,Aerospace,Central America Hub,446.0
Precious Metals Exchange,Plastics,Polypropylene,Manufacturing,Central America Hub,240.08
Mining Operations LLC,Agriculture,Coffee,Electronics,Asia Pacific Hub,111.61
Copper Traders International,Plastics,ABS,Aerospace,Central America Hub,241.67
Coal Mining Corp,Metals,Copper,Food & Beverage,Middle East Plant,268.44
Global Commodities Inc,Chemicals,Urea,Chemicals,South America Facility,452.59
Coal Mining Corp,Energy,Diesel,Packaging,North Asia Operations,56.03
Beverage Industry Supply,Metals,Copper,Telecommunications,Europe Manufacturing,277.76
Construction Materials Co,Metals,Scrap Metal,Defense,North Asia Operations,273.61
Aluminum Corp,Energy,LNG,Agriculture,South America Facility,57.47
Rare Earth Elements Co,Metals,Tin,Food & Beverage,Middle East Plant,268.66
Aluminum Corp,Minerals,Limestone,Cosmetics,Europe Manufacturing,166.74
Medical Grade Metals,Metals,Titanium,Oil & Gas,Middle East Plant,276.49
Global Commodities Inc,Chemicals,Caustic Soda,Agriculture,Africa Operations,447.34
Petroleum Products Ltd,Metals,Scrap Metal,Electronics,North America Plant,274.43
Chemical Industries Ltd,Plastics,PVC,Infrastructure,Oceania Facility,236.5
Zinc and Lead Traders,Agriculture,Corn,Aerospace,North Asia Operations,110.08
Natural Gas Traders,Chemicals,Ammonia,Mining,Europe Manufacturing,443.05
AgriTech Solutions,Minerals,Silica,Energy,Southeast Asia Hub,164.92
Battery Materials Corp,Energy,Natural Gas,Electronics,North America Plant,54.82
Plastic Polymers Co,Energy,Crude Oil,Construction,Southeast Asia Hub,51.77
Copper Traders International,Plastics,PVC,Electronics,North America Plant,242.07
Food Processing Materials,Minerals,Talc,Oil & Gas,Southeast Asia Hub,164.25
Steel Manufacturing Co,Energy,Crude Oil,Packaging,South America Facility,56.59
Chemical Industries Ltd,Energy,Gasoline,Agriculture,Caribbean Plant,54.19
Chemical Industries Ltd,Minerals,Kaolin,Infrastructure,Central America Hub,167.61
Iron Ore Suppliers,Metals,Titanium,Renewable Energy,South America Facility,276.51
Automotive Materials,Agriculture,Sugar,Cosmetics,North America Plant,112.38
Coal Mining Corp,Plastics,Polystyrene,Renewable Energy,Central Asia Plant,235.06
AgriTech Solutions,Energy,Diesel,Manufacturing,Central Asia Plant,56.11
Solar Panel Materials,Agriculture,Rice,Pharmaceuticals,Africa Operations,106.35
Glass Manufacturing Co,Agriculture,Wheat,Oil & Gas,South America Facility,111.78
Zinc and Lead Traders,Electronics,Silicon,Automotive,Europe Manufacturing,490.15
Food Processing Materials,Energy,Gasoline,Chemicals,Africa Operations,55.89
Zinc and Lead Traders,Chemicals,Caustic Soda,Defense,Central Asia Plant,456.09
Zinc and Lead Traders,Minerals,Barite,Pharmaceuticals,North Asia Operations,164.82
Industrial Supply Ltd,Chemicals,PVC,Healthcare,Oceania Facility,447.08
Wood Products International,Electronics,Germanium,Electronics,Caribbean Plant,509.58
Automotive Materials,Textiles,Rayon,Cosmetics,Central America Hub,30.64
Premium Metals Corp,Plastics,Polystyrene,Automotive,Central America Hub,239.39
Paper and Pulp Industries,Agriculture,Cocoa,Defense,Eastern Europe Facility,114.37
Nickel Alloys Corp,Chemicals,Propylene,Electronics,Western Europe Plant,411.9
Nickel Alloys Corp,Energy,Coal,Automotive,Southeast Asia Hub,55.79
Plastic Polymers Co,Energy,Coal,Oil & Gas,Eastern Europe Facility,59.03
Agricultural Commodities,Plastics,Polycarbonate,Oil & Gas,Europe Manufacturing,235.95
Electronics Components Ltd,Energy,Coal,Construction,South Asia Plant,56.02
Ceramic Materials Ltd,Textiles,Acrylic,Agriculture,South America Facility,28.88
Ceramic Materials Ltd,Agriculture,Corn,Textiles,Western Europe Plant,110.37
Pharmaceutical Raw Materials,Minerals,Talc,Renewable Energy,South America Facility,165.15
Solar Panel Materials,Minerals,Talc,Electronics,Europe Manufacturing,165.89
Solar Panel Materials,Metals,Steel,Cosmetics,South Asia Plant,269.79
Natural Gas Traders,Minerals,Feldspar,Manufacturing,North America Plant,166.01
Battery Materials Corp,Metals,Copper,Mining,Central America Hub,274.77
Rubber and Tire Materials,Plastics,Polyethylene,Agriculture,Asia Pacific Hub,238.64
Metro Trading Co,Textiles,Cotton Fiber,Infrastructure,South Asia Plant,27.55
Chemical Industries Ltd,Energy,Crude Oil,Healthcare,South Asia Plant,55.65
Industrial Supply Ltd,Textiles,Acrylic,Pharmaceuticals,Southeast Asia Hub,28.92
Titanium Specialists,Textiles,Acrylic,Defense,Western Europe Plant,28.46
